,Inputs,,,,,,,,,,,,,,Outputs,,,,,,
Cycle Number,Heat Rate 1 [C/min],Ramp 1 Duration [min],Temperature Dwell 1 [min],Heat Rate 2 [C/min],Ramp 2 Duration [min],Temperature Dwell 2 [min],Vacuum Pressure (*Patm) [Pa],Vacuum Start Time [min],Vacuum Duration [min],Autoclave Pressure (*Patm) [Pa],Autoclave Start Time [min],Autoclave Duration [min],***,***,AD. Porosity (%),PR. Porosity (%),Eff. Porosity (%),Max (Fiber Volume Fraction) (%),Cure Cycle Total Time [min],AD. Volume [m^3],PR. Volume [m^3]
1,2,80,120,0,0,0,0.01,1,199,2,1,199,'***','***',0,0,0,56.7587,200,2.47E-09,4.01E-11
2,2,80,120,0,0,0,0.01,1,199,2,20,180,'***','***',0,0,0,56.7587,200,2.47E-09,3.88E-11
3,2,80,120,0,0,0,0.01,1,199,2,40,160,'***','***',0,0,0,56.7587,200,2.47E-09,1.50E-11
4,2,80,120,0,0,0,0.01,1,199,2,60,140,'***','***',0,0,0,56.7587,200,2.47E-09,1.50E-11
5,2,80,120,0,0,0,0.01,1,199,2,80,120,'***','***',0,0,0,56.7675,200,2.47E-09,1.50E-11
6,2,80,120,0,0,0,0.01,1,199,3,1,199,'***','***',0,0,0,57.6409,200,2.47E-09,6.70E-11
7,2,80,120,0,0,0,0.01,1,199,3,20,180,'***','***',0,0,0,57.6409,200,2.47E-09,6.52E-11
8,2,80,120,0,0,0,0.01,1,199,3,40,160,'***','***',0,40.6538908043275,0.851894259232355,57.6409,200,2.47E-09,3.14E-11
9,2,80,120,0,0,0,0.01,1,199,3,60,140,'***','***',0,0,0,57.6409,200,2.47E-09,1.50E-11
10,2,80,120,0,0,0,0.01,1,199,3,80,120,'***','***',0,0,0,57.6587,200,2.47E-09,1.50E-11
11,2,80,120,0,0,0,0.01,1,199,4,1,199,'***','***',0,0,0,58.523,200,2.47E-09,9.50E-11
12,2,80,120,0,0,0,0.01,1,199,4,20,180,'***','***',0,0,0,58.523,200,2.47E-09,9.27E-11
13,2,80,120,0,0,0,0.01,1,199,4,40,160,'***','***',0,3.72202629892406,0.089664987377093,58.523,200,2.47E-09,5.88E-11
14,2,80,120,0,0,0,0.01,1,199,4,60,140,'***','***',0,0,0,58.523,200,2.47E-09,1.50E-11
15,2,80,120,0,0,0,0.01,1,199,4,80,120,'***','***',0,0,0,58.5502,200,2.47E-09,1.50E-11
